id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/zuikvc/galviju_pasiskirstymai_zub,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,gpz,,,,csv,,{dist.dowload_url},tabular(sep: ';'),,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,Spinta:210,,
,,,,,,,,,,,,,,
,,,,GalvijuPasiskirstymasZub,,,savivaldybe,,,2,,,Galvijų pasiskirstymas pagal savivaldybes įmonėse,
,,,,,savivaldybe,string,,Gyvūno bandos savivaldybės pavadinimas,,2,open,,Gyvūno bandos savivaldybės pavadinimas,
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",2,open,,,
,,,,,,comment,type,,"update(property: ""savivaldybe.pavadinimas"", type: """")",2,open,,,
,,,,,asmenys_laikantys_galvijus,integer,U,"Juridinių asmenų, kurie laiko galvijus savivaldybėje, skaičius",,4,open,,"Juridinių asmenų, kurie laiko galvijus savivaldybėje, skaičius",
,,,,,galviju_sk,integer,U,Galvijų skaičius ,,4,open,,Galvijų skaičius,
,,,,,asmenys_laikantys_pienines_karves,integer,U,"Juridinių asmenų, kurie laiko pieninių veislių karves savivaldybėje, skaičius",,4,open,,"Juridinių asmenų, kurie laiko pieninių veislių karves savivaldybėje, skaičius",
,,,,,pieniniu_karviu_sk,integer,U,Pieninių veislių karvių skaičius ,,4,open,,Pieninių veislių karvių skaičius ,
