id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/zuikvc/gyvuliu_atvedimai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,ga,,,,csv,,{dist.dowload_url},tabular(sep: ';'),,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,spinta:210,,
,,,,,,,,,,,,,,
,,,,Atvedimas,,,savivaldybe,,,2,,,Gyvulių atvedimai,
,,,,,savivaldybe,string,,Savivaldybės pavadinimas,,2,open,,Savivaldybės pavadinimas,
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",2,open,,,
,,,,,,comment,type,,"update(property: ""savivaldybe.pavadinimas"", type: """")",2,open,spinta:216,,
,,,,,buliukai,integer,U,Buliukų skaičius savivaldybėje,,4,open,,Atvestų buliukų skaičius,
,,,,,telycios,integer,U,Telyčių skaičius savivaldybėje,,4,open,,Atvestų telyčiačių skaičius,
,,,,,avinai,integer,U,Avinų skaičius savivaldybėje,,4,open,,Atvestų avinų skaičius,
,,,,,avys,integer,U,Avių skaičius savivaldybėje,,4,open,,Atvestų avių skaičius,
,,,,,oziai,integer,U,Ožių skaičius savivaldybėje,,4,open,,Atvestų ožių skaičius,
,,,,,ozkos,integer,U,Ožkų skaičius savivaldybėje,,4,open,,Atvestų ožkų skaičius,
,,,,,erzilai,integer,U,Eržilų skaičius savivaldybėje,,4,open,,Atvestų eržilų skaičius,
,,,,,kumeles,integer,U,Kumelių skaičius savivaldybėje,,4,open,,Atvestų kumelių skaičius,
