id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/zuikvc/ozku_ukiai,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,ou,,,,csv,,{dist.dowload_url},tabular(sep: ';'),,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,spinta:210,,
,,,,,,,,,,,,,,
,,,,OzkuUkiuPasiskirstymas,,,savivaldybe,,,2,,,Ūkių pasiskirstymas pagal ožkų skaičių,
,,,,,savivaldybe,string,,Gyvūno bandos savivaldybės pavadinimas,,2,open,,Gyvūno bandos savivaldybės pavadinimas,
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",2,open,,,
,,,,,,comment,type,,"update(property: ""savivaldybe.pavadinimas"", type: """")",2,open,spinta:216,,
,,,,,laik_ozkos_1_2,integer,U,"Asmenų, kurie laiko 1 arba 2 ožkų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko 1 arba 2 ožkas, skaičius",
,,,,,ozkos_1_2,integer,U,"Ožkų, kurios laikomos pas asmenis, kurie laiko 1 arba 2 ožkas savivaldybėje, skaičius",,4,open,,"Ožkų, kurios laikomos pas asmenis, kurie laiko 1 arba 2 ožkas, skaičius",
,,,,,laik_ozkos_3_5,integer,U,"Asmenų, kurie laiko nuo 3 iki 5 ožkų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko nuo 3 iki 5 ožkų, skaičius",
,,,,,ozkos_3_5,integer,U,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 3 iki 5 ožkų savivaldybėje, skaičius",,4,open,,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 3 iki 5 ožkų, skaičius",
,,,,,laik_ozkos_6_10,integer,U,"Asmenų, kurie laiko nuo 6 iki 10 ožkų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko nuo 6 iki 10 ožkų, skaičius",
,,,,,ozkos_6_10,integer,U,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 6 iki 10 ožkų savivaldybėje, skaičius",,4,open,,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 6 iki 10 ožkų, skaičius",
,,,,,laik_ozkos_11_20,integer,U,"Asmenų, kurie laiko nuo 11 iki 20 ožkų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko nuo 11 iki 20 ožkų, skaičius",
,,,,,ozkos_11_20,integer,U,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 11 iki 20 ožkų savivaldybėje, skaičius",,4,open,,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 11 iki 20 ožkų, skaičius",
,,,,,laik_ozkos_21_30,integer,U,"Asmenų, kurie laiko nuo 21 iki 30 ožkų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko nuo 21 iki 30 ožkų, skaičius",
,,,,,ozkos_21_30,integer,U,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 21 iki 30 ožkų savivaldybėje, skaičius",,4,open,,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 21 iki 30 ožkų, skaičius",
,,,,,laik_ozkos_31_50,integer,U,"Asmenų, kurie laiko nuo 31 iki 50 ožkų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko nuo 31 iki 50 ožkų, skaičius",
,,,,,ozkos_31_50,integer,U,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 31 iki 50 ožkų savivaldybėje, skaičius",,4,open,,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 31 iki 50 ožkų, skaičius",
,,,,,laik_ozkos_51_100,integer,U,"Asmenų, kurie laiko nuo 51 iki 100 ožkų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko nuo 51 iki 100 ožkų, skaičius",
,,,,,ozkos_51_100,integer,U,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 51 iki 100 ožkų savivaldybėje, skaičius",,4,open,,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 51 iki 100 ožkų, skaičius",
,,,,,laik_ozkos_101_150,integer,U,"Asmenų, kurie laiko nuo 101 iki 150 ožkų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko nuo 101 iki 150 ožkų, skaičius",
,,,,,ozkos_101_150,integer,U,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 101 iki 150 ožkų savivaldybėje, skaičius",,4,open,,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 101 iki 150 ožkų, skaičius",
,,,,,laik_ozkos_151,integer,U,"Asmenų, kurie laiko nuo 151 ožkų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko nuo 151 ožkų, skaičius",
,,,,,ozkos_151,integer,U,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 151 ožkų savivaldybėje, skaičius",,4,open,,"Ožkų, kurios laikomos pas asmenis, kurie laiko nuo 151 ožkų, skaičius",
