id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/zuikvc/telyciu_karviu_amzius,,,,,,,,,,,,,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,,,,,,,,
,,tka,,,,csv,,{dist.dowload_url},tabular(sep: ';'),,,,,
,,,,,,comment,type,,"create(type: ""param"", ref: ""dist"", source: ""/datasets/gov/ivpk/adp/catalog/DatasetDistribution"")",4,open,spinta:210,,
,,,,,,,,,,,,,,
,,,,TelyciosKarvesAmzius,,,savivaldybe,,,2,,,Mėsinių ir mišrūnų veislių telyčių ir karvių pasiskirstymas pagal amžiaus grupes,
,,,,,savivaldybe,string,,Gyvūno bandos savivaldybės pavadinimas ,,2,open,,Gyvūno bandos savivaldybės pavadinimas ,
,,,,,,comment,type,,"create(property: ""savivaldybe"", type: ""ref"", ref: ""/datasets/gov/rc/ar/savivaldybe/Savivaldybe"")",2,open,,,
,,,,,,comment,type,,"update(property: ""savivaldybe.pavadinimas"", type: """")",2,open,spinta:216,,
,,,,,laik,integer,U,"Asmenų, kurie laiko bent vieną iš šių gyvūnų savivaldybėje, skaičius",,4,open,,"Asmenų, kurie laiko mėsinių arba mišrūnų veislių telyčias arba karves",
,,,,,tel_0_8_mes,integer,U,Mėsinių veislių telyčių iki 8 mėnesių amžiaus skaičius,,4,open,,Mėsinių veislių telyčių iki 8 mėnesių amžiaus skaičius,
,,,,,tel_0_8_mis,integer,U,Mišrūnių veislių telyčių iki 8 mėnesių amžiaus skaičius,,4,open,,Mišrūnų veislių telyčių iki 8 mėnesių amžiaus skaičius,
,,,,,tel_8_12_mes,integer,U,Mėsinių veislių telyčių nuo 8 (imtinai) iki 12 mėnesių amžiaus skaičius,,4,open,,Mėsinių veislių telyčių nuo 8 iki 12 mėnesių amžiaus skaičius,
,,,,,tel_8_12_mis,integer,U,Mišrūnių veislių telyčių nuo 8 (imtinai) iki 12 mėnesių amžiaus skaičius,,4,open,,Mišrūnų veislių telyčių nuo 8 iki 12 mėnesių amžiaus skaičius,
,,,,,tel_12_24_mes,integer,U,Mėsinių veislių telyčių nuo 12 (imtinai) iki 24 mėnesių amžiaus skaičius,,4,open,,Mėsinių veislių telyčių nuo 12 iki 24 mėnesių amžiaus skaičius,
,,,,,tel_12_24_mis,integer,U,Mišrūnių veislių telyčių nuo 12 (imtinai) iki 24 mėnesių amžiaus skaičius,,4,open,,Mišrūnų veislių telyčių nuo 12 iki 24 mėnesių amžiaus skaičius,
,,,,,tel_24_mes,integer,U,Mėsinių veislių telyčių virš 24 mėnesių amžiaus skaičius,,4,open,,Mėsinių veislių telyčių nuo 24 mėnesių amžiaus skaičius,
,,,,,tel_24_mis,integer,U,Mišrūnių veislių telyčių virš 24 mėnesių amžiaus skaičius,,4,open,,Mišrūnų veislių telyčių nuo 24 mėnesių amžiaus skaičius,
,,,,,karv_mes,integer,U,Mėsinių karvių bet kurio amžiaus skaičius,,4,open,,Mėsinių veislių karvių skaičius,
,,,,,karv_mis,integer,U,Mišrūnių karvių bet kurio amžiaus skaičius,,4,open,,Mišrūnų veislių karvių skaičius,
