id,dataset,resource,base,model,property,type,ref,source,prepare,level,access,uri,title,description
,datasets/gov/zum/zuvininkystes_tarnyba/sugautu_zuvu_kiekiai,,,,,,,,,,,,Informacija apie sugautų žuvų kiekius,
,,,,,,prefix,spinta,,,,,https://github.com/atviriduomenys/spinta/issues/,,
,,,,,,,manifest,,,,,https://github.com/atviriduomenys/manifest/issues/,,
,,,,,,,,,,,,,,
,,,,ZuvuKiekis,,,id,,,4,,,Informacija apie sugautų žuvų kiekius,Lentelėje pateikta informacija apie sugautų žuvų kiekius iš Žuvininkystės tarnybos prie Lietuvos Respublikos žemės ūkio ministerijos Žuvininkystės duomenų informacinės sistemos (ŽDIS). Pateikti duomenys nuo jų rinkimo sistemoje pradžios (2015 metų) atnaujinant kas pusę metų. Dėl techninių klausimų ar galimų klaidų kreiptis į atverimas@stat.gov.lt. 
,,,,,id,string,,,,4,open,,Duomenų eilutės įrašo identifikatorius,
,,,,,sugauta_kiekis,number,,,,4,open,,Sugautų žuvų kiekis,
,,,,,matavimo_vnt,string,,,,4,open,,Sugautų žuvų kiekio matavimo vienetas,
,,,,,rusies_pav,string,,,,4,open,,Rūšies pavadinimas,
,,,,,rusies_komercinis_pav,string,,,,4,open,,Rūšies komercinis pavadinimas,
,,,,,rusies_pav_en,string,,,,4,open,,Rūšies pavadinimas anglų kalba,
,,,,,rusies_mokslinis_pav_lot,string,,,,4,open,,Rūšies pavadinimas lotyniškai,
,,,,,rusies_seima,string,,,,4,open,,Rūšies šeima,
,,,,,zvejybos_pastangos_id,string,,,,4,open,,Žvejybos pastangos identifikacinis numeris,
,,,,,zvejybos_pastangos_pradz_data,datetime,S,,,4,open,,Žvejybos pastangos pradžios data,
,,,,,zvejybos_pastangos_pabaigos_data,datetime,S,,,4,open,,Žvejybos pastangos pabaigos data,
,,,,,trukme_val,number,U,,,4,open,,Bandymo sugauti žuvis trukmė (val.),
,,,,,ekonomines_zonos_kodas,string,,,,4,open,,Ekonominės zonos kodas,
,,,,,ekonomines_zonos_pav,string,,,,4,open,,Ekonominės zonos pavadinimas,
,,,,,fao_zonos_kodas,string,,,,4,open,,"FAO (""Food and Agriculture Organization"") zonos kodas",
,,,,,fao_zonos_pav,string,,,,4,open,,"FAO (""Food and Agriculture Organization"") zonos pavadinimas",
,,,,,laivo_registracijos_numeris,string,,,,4,open,,Laivo registracijos numeris (šifruotas),
,,,,,kapitono_id,string,,,,4,open,,Kapitono identifikacinis numeris (šifruotas),
,,,,,zvejybos_irankio_pav,string,,,,4,open,,Žvejybos įrankio pavadinimas,
,,,,,tinklo_ilgis,number,m,,,4,open,,"Žvejybinio tinklo ilgis (metrais, m)",
,,,,,tinklo_tankumas,number,mm,,,4,open,,"Žvejybinio tinklo tankumas (milimetrais, mm)",
,,,,,gylis,number,m,,,4,open,,"Gylis (metrais, m), kuriame sugautos žuvys",
,,,,,laivo_isvykimo_is_uosto_data,datetime,S,,,4,open,,Laivo išvykimo iš uosto data,
,,,,,laivo_isvykimo_uosto_pav,string,,,,4,open,,"Uosto, iš kurio išplaukė laivas, pavadinimas",
,,,,,laivo_isvykimo_uosto_miestas,string,,,,4,open,,"Uosto, iš kurio išplaukė laivas, miestas",
,,,,,laivo_isvykimo_uosto_salis,string,,,,4,open,,"Uosto, iš kurio išplaukė laivas, šalis",
,,,,,ar_isvykimo_uostas_EU,boolean,,,,4,open,,"Požymis, ar uostas, iš kurio išplaukė laivas, yra Europos sąjungoje (""true"" - taip, ""false"" - ne)",
,,,,,laivo_grizimo_i_uosta_data,datetime,S,,,4,open,,Laivo grįžimo į uostą data,
,,,,,laivo_grizimo_uosto_pavadinimas,string,,,,4,open,,"Uosto, į kurį sugrįžo laivas, pavadinimas",
,,,,,laivo_grizimo_uosto_miestas,string,,,,4,open,,"Uosto, į kurį sugrįžo laivas, miestas",
,,,,,laivo_grizimo_uosto_salis,string,,,,4,open,,"Uosto, į kurį sugrįžo laivas, šalis",
,,,,,ar_grizimo_uostas_EU,boolean,,,,4,open,,"Požymis, ar uostas, į kurį sugrįžo laivas, yra Europos sąjungoje (""true"" - taip, ""false"" - ne)",
